"","name","group","type","category","valuetype","default","min","max","Dislich2018"
"182","gr-hh-area-mean-ha","parameter","global","LGRaf","numeric","1",NA,NA,1.02
"183","gr-hh-area-sd-ha","parameter","global","LGRaf","numeric","0.92",NA,NA,0.92
"184","gr-vlg-area-distribution","parameter","global","LGRaf","string","""uniform""",NA,NA,NA
"185","gr-vlg-area-mean","parameter","global","LGRaf","numeric","68.17",NA,NA,NA
"186","gr-vlg-area-sd","parameter","global","LGRaf","numeric","56.73",NA,NA,NA
"187","gr-occ-probability","parameter","global","LGRaf","numeric","0",NA,NA,NA
"188","gr-hh-distribution","parameter","global","LGRaf","string","""log-normal""",NA,NA,NA
"189","gr-hh-type-mean","parameter","global","LGRaf","numeric","0.56",NA,NA,NA
"190","gr-hh-type-sd","parameter","global","LGRaf","numeric","0.24",NA,NA,NA
"191","gr-inaccessible-area-location","parameter","global","LGRaf","string","""random""",NA,NA,NA
"192","gr-inaccessible-area-distribution","parameter","global","LGRaf","string","""normal""",NA,NA,NA
"193","gr-inaccessible-area-fraction","parameter","global","LGRaf","numeric","0",NA,NA,NA
"194","gr-inaccessible-area-mean","parameter","global","LGRaf","numeric","0.5",NA,NA,NA
"195","gr-inaccessible-area-sd","parameter","global","LGRaf","numeric","10",NA,NA,NA
"196","gr-field-size-distribution","parameter","global","LGRaf","string","""log-normal""",NA,NA,NA
"197","gr-field-size-mean-ha","parameter","global","LGRaf","numeric","0.49",NA,NA,0.49
"198","gr-field-size-sd-ha","parameter","global","LGRaf","numeric","0.77",NA,NA,0.77
"199","gr-change-strategy","parameter","global","LGRaf","numeric","2",NA,NA,NA
"200","gr-s1.homebase","parameter","global","LGRaf","boolean","TRUE",NA,NA,NA
"201","gr-s2.fields","parameter","global","LGRaf","boolean","TRUE",NA,NA,NA
"202","gr-s3.nearby","parameter","global","LGRaf","boolean","TRUE",NA,NA,NA
"203","gr-s4.avoid","parameter","global","LGRaf","boolean","TRUE",NA,NA,NA
"204","gr-set-field-strategies-by-id?","parameter","global","LGRaf","boolean","FALSE",NA,NA,NA
"205","gr-field-strategies-id","parameter","global","LGRaf","numeric","7",NA,NA,NA
"206","gr-LUT-fill-up","parameter","global","LGRaf","string","""LUT-1-fraction""",NA,NA,NA
"207","gr-land-use-types","parameter","global","LGRaf","string","""household-level-specialization""",NA,NA,NA
